Country/Region,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Bahamas,0.0,0.0,0.45161290322580644,2.0,0.6774193548387096,0.06666666666666667,15.161290322580646,52.193548387096776,61.56666666666667,83.58064516129032,27.566666666666666,10.580645161290322,9.258064516129032,12.321428571428571,19.35483870967742,42.733333333333334,43.32258064516129,26.333333333333332,67.90322580645162,106.41935483870968,94.83333333333333,39.903225806451616,12.8,54.0,260.83870967741933,18.892857142857142,4.419354838709677,8.9,38.096774193548384,37.13333333333333,24.161290322580644,11.129032258064516,6.966666666666667,3.096774193548387,3.2333333333333334,0.25806451612903225,0.0,0.0,0.0
Bahrain,0.0,1.4137931034482758,16.774193548387096,82.36666666666666,265.4193548387097,496.23333333333335,437.6774193548387,347.80645161290323,614.1333333333333,331.3225806451613,167.76666666666668,178.6451612903226,327.2258064516129,671.8571428571429,690.516129032258,1051.8,2017.225806451613,767.9,103.58064516129032,104.41935483870968,80.73333333333333,54.806451612903224,27.2,140.03225806451613,2964.451612903226,4719.107142857143,1188.1935483870968,456.76666666666665,534.6451612903226,1319.6333333333334,1042.5806451612902,372.4193548387097,287.96666666666664,302.64516129032256,197.7,73.74193548387096,54.12903225806452,237.32142857142858,92.41935483870968
Bangladesh,0.0,0.0,1.6451612903225807,253.76666666666668,1255.3225806451612,3198.3,2851.7096774193546,2359.2258064516127,1617.7666666666667,1377.3225806451612,1856.0,1493.0645161290322,665.7741935483871,379.7857142857143,2080.451612903226,4712.266666666666,1288.9032258064517,3698.4333333333334,10578.225806451614,7622.258064516129,1741.0333333333333,412.2903225806452,217.7,289.4516129032258,6868.5161290322585,4699.642857142857,232.29032258064515,34.43333333333333,25.516129032258064,674.9333333333333,954.0322580645161,204.51612903225808,434.5,308.48387096774195,41.7,17.032258064516128,13.903225806451612,7.321428571428571,1.3548387096774193
Barbados,0.0,0.0,1.096774193548387,1.5666666666666667,0.3548387096774194,0.16666666666666666,0.41935483870967744,1.6774193548387097,0.4666666666666667,1.4193548387096775,1.3,3.3870967741935485,37.096774193548384,53.92857142857143,17.322580645161292,6.533333333333333,4.967741935483871,2.1333333333333333,9.935483870967742,20.161290322580644,110.3,295.2903225806452,243.1,101.16129032258064,503.8709677419355,355.32142857142856,125.38709677419355,352.8333333333333,329.19354838709677,119.16666666666667,242.70967741935485,284.48387096774195,45.5,14.0,33.06666666666667,35.45161290322581,20.70967741935484,17.428571428571427,4.935483870967742
Belarus,0.0,0.034482758620689655,4.870967741935484,462.1333333333333,891.5806451612904,623.8333333333334,173.67741935483872,125.70967741935483,222.3,627.8387096774194,1239.6,1808.5483870967741,1681.0645161290322,1357.5357142857142,1081.9354838709678,1189.8333333333333,1111.516129032258,737.1333333333333,897.6774193548387,1114.0,1828.5,1938.3548387096773,1755.3333333333333,1374.1935483870968,1372.0,6245.178571428572,1336.9032258064517,552.9666666666667,70.54838709677419,0.0,360.3225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,0.034482758620689655,412.03225806451616,1151.8333333333333,301.5806451612903,97.0,233.61290322580646,510.7741935483871,1098.8333333333333,9940.967741935483,4544.233333333334,2170.451612903226,1995.6129032258063,2146.214285714286,3553.516129032258,3410.3,2211.8387096774195,721.0666666666667,1252.5806451612902,1933.8387096774193,1914.9333333333334,3659.7741935483873,13512.833333333334,10287.064516129032,33867.6129032258,13325.464285714286,9264.741935483871,6846.666666666667,3100.3225806451615,3117.3333333333335,5425.064516129032,1842.3870967741937,1881.7,2184.967741935484,905.7333333333333,930.2258064516129,750.0322580645161,934.1428571428571,700.3225806451613
Belize,0.0,0.0,0.0967741935483871,0.5,0.0,0.2,0.6451612903225806,30.677419354838708,31.4,48.225806451612904,75.9,158.7741935483871,36.516129032258064,12.428571428571429,4.612903225806452,7.066666666666666,4.548387096774194,14.4,27.838709677419356,70.64516129032258,143.6,186.93548387096774,109.4,74.93548387096774,569.258064516129,167.5,16.35483870967742,6.933333333333334,60.25806451612903,147.63333333333333,95.90322580645162,38.41935483870968,18.4,2.870967741935484,3.033333333333333,28.967741935483872,23.032258064516128,3.4642857142857144,0.0
Benin,0.0,0.0,0.2903225806451613,1.7,4.580645161290323,31.866666666666667,19.548387096774192,10.96774193548387,7.066666666666666,9.225806451612904,11.066666666666666,7.612903225806452,20.70967741935484,55.035714285714285,53.74193548387097,16.933333333333334,7.645161290322581,4.7,6.290322580645161,160.38709677419354,265.26666666666665,27.70967741935484,3.3666666666666667,2.3225806451612905,48.87096774193548,4.178571428571429,12.419354838709678,0.0,0.0,8.8,3.225806451612903,5.612903225806452,4.933333333333334,4.645161290322581,6.6,0.06451612903225806,0.22580645161290322,0.03571428571428571,0.2903225806451613
Bhutan,0.0,0.0,0.12903225806451613,0.1,1.1612903225806452,1.1333333333333333,0.7741935483870968,3.967741935483871,1.8333333333333333,2.161290322580645,1.8666666666666667,8.258064516129032,5.483870967741935,0.2857142857142857,0.1935483870967742,6.266666666666667,16.580645161290324,15.6,13.258064516129032,2.5161290322580645,0.16666666666666666,0.6451612903225806,0.6333333333333333,0.6451612903225806,71.96774193548387,267.82142857142856,482.7096774193548,1000.8,13.193548387096774,3.3666666666666667,20.612903225806452,17.612903225806452,29.766666666666666,13.258064516129032,4.1,0.6774193548387096,2.6129032258064515,0.35714285714285715,0.22580645161290322
Bolivia,0.0,0.0,3.4516129032258065,35.06666666666667,282.35483870967744,756.2666666666667,1372.967741935484,1219.516129032258,601.4666666666667,194.8709677419355,95.83333333333333,494.0,1801.6129032258063,1096.8214285714287,730.4516129032259,1013.5,2088.7741935483873,2163.5333333333333,1039.3548387096773,547.741935483871,303.5,411.64516129032256,791.6333333333333,1971.1612903225807,8256.516129032258,1209.4642857142858,271.96774193548384,88.6,122.19354838709677,578.2,3517.7419354838707,2069.4193548387098,175.13333333333333,36.483870967741936,53.166666666666664,1601.967741935484,802.6129032258065,165.32142857142858,32.935483870967744
