Country/Region,YearMonth,AverageDailyCases
Andorra,2020-09,28.866666666666667
Andorra,2020-10,87.29032258064517
Andorra,2020-11,64.0
Andorra,2020-12,40.61290322580645
Andorra,2021-01,58.70967741935484
Andorra,2021-02,31.928571428571427
Andorra,2021-03,36.16129032258065
Andorra,2021-04,39.3
Andorra,2021-05,15.96774193548387
Andorra,2021-06,6.066666666666666
Andorra,2021-07,24.516129032258064
Andorra,2021-08,11.451612903225806
Andorra,2021-09,5.866666666666666
Andorra,2021-10,9.483870967741936
Andorra,2021-11,53.3
Andorra,2021-12,203.67741935483872
Andorra,2022-01,394.1290322580645
Andorra,2022-02,72.89285714285714
Andorra,2022-03,59.96774193548387
Andorra,2022-04,44.166666666666664
Andorra,2022-05,49.83870967741935
Andorra,2022-06,29.333333333333332
Andorra,2022-07,42.935483870967744
Andorra,2022-08,16.741935483870968
Andorra,2022-09,6.666666666666667
Andorra,2022-10,9.935483870967742
Andorra,2022-11,22.8
Andorra,2022-12,17.161290322580644
Andorra,2023-01,2.838709677419355
Andorra,2023-02,0.9642857142857143
Andorra,2023-03,0.4838709677419355
Angola,2020-01,0.0
Angola,2020-02,0.0
